SpeciesUId,Class,Order,Name,ScientificName,Icon,Notes,Level,RedData
27,Birds,Terns Petrels and Frigates,Pintado Petrel,Daption capense,021a.png,"  Medium; above chequered black-and-white; below white; head, throat and edges of wing black. Widespread at sea. Common, especially in winter.",1,N
28,Birds,Terns Petrels and Frigates,Great-winged Petrel,Pterodroma macroptera,023a.png,"  Medium; sooty brown all over; bill stubby, hooked, black; wings usually held bent in flight. Open southern oceans. Uncommon.",1,N
29,Birds,Terns Petrels and Frigates,Soft-plumaged Petrel,Pterodroma mollis,024a.png,"  Medium; light form slaty grey above, darker on leading edge of wing, showing as dark W in flight; below white with greyish breastband; dark form all grey (wing pattern as in light form). Mainly open southern oceans. Common mainly in winter.",1,N
30,Birds,Terns Petrels and Frigates,White-headed Petrel,Pterodroma lessonii,025a.png,"  Medium; above pale grey with sooty brown wings; below white with dark underwing; black patch around eye; bill short, black; legs pale. Open ocean. Very rare vagrant.",1,N
31,Birds,Terns Petrels and Frigates,Atlantic Petrel,Pterodroma incerta,026a.png,"  Medium; above, throat, undertail, tail and underwing brown; rest of underparts white; bill dark; legs pale pink. Mainly off sw Cape. Open southern oceans. Rare.",1,N
32,Birds,Terns Petrels and Frigates,Kerguelen Petrel,Lugensa brevirostris,027a.png,"  Large; dark grey, paler on underwing and leading edge; big-headed with high forehead; bill dark, stubby. Open ocean. Rare vagrant to Cape and KwaZulu-Natal.",1,N
33,Birds,Terns Petrels and Frigates,Blue Petrel,Halobaena caerulea,028a.png,"  Small to medium; above blue-grey; crown black, forehead white; dark line on wings makes W pattern; tail square, tipped white; below white. Extreme southern oceans. Rare.",1,N
34,Birds,Ocean Wade Birds,Broad-billed Prion,Pachyptila vittata,029a.png,"  Small to medium; above blue-grey, crown darker; eyebrow white; dark W across upperwings; tail wedge-shaped, narrowly tipped black; below white; undertail has black T pattern. Open southern oceans. Fairly common, mainly in winter.",1,N
35,Birds,Ocean Wade Birds,Salvin’s Prion,Pachyptila salvini,029a.png,  Medium; blue-grey above with dark M-shaped bar extending across upperparts; tail square and tipped black; bill bluish; not readily identifiable in the field. Open ocean throughout s African waters. Apparently common winter visitor.,1,N
36,Birds,Ocean Wade Birds,Antarctic Prion,Pachyptila desolata,029a.png, &#9;Medium; dark grey above with dark ‘M’shaped bar extending across upperparts; tail rounded and tipped black; bill smaller than Antarctic Prion; not readily identifiable in the field. Open ocean. Regular winter visitor.,1,N
37,Birds,Ocean Wade Birds,Slender-billed Prion,Pachyptila belcheri,030a.png,"  Small; above bluegrey; dark W across upperwing; tip of tail narrowly black, outer feathers white; broad blackish stripe behind eye; eyebrow and underparts white, with black central stripe on undertail coverts. Open ocean. Very rare vagrant.",1,N
38,Birds,Ocean Wade Birds,Fairy Prion,Pachyptila turtur,031a.png,"  Small; above blue-grey including crown, with dark W pattern on upperwings; tail wedge-shaped, broadly tipped black; below white. Open southern oceans. Rare vagrant.",1,N
39,Birds,Terns Petrels and Frigates,White-chinned Petrel,Procellaria aequinoctialis,032a.png,"  Medium to large; all blackish brown; chin white; bill massive, pale; wings long, broad; tail rounded. Widespread. Open ocean and inshore. Common.",1,N
40,Birds,Terns Petrels and Frigates,Spectacled Petrel,Procellaria conspicillata,032a.png,"  Medium to large; dark brownish black throughout with whitish chin; bill pale; tail rounded; very similar to Whitechinned Petrel (previously considered a race of that species) except for diagnostic white 'spectacle' encircling the eye. Open ocean. Rare, mainly winter visitor to W coast. ",1,N
41,Birds,Terns Petrels and Frigates,Grey Petrel,Procellaria cinerea,033a.png,"  Medium; above brownish grey; below white; underwing dark greyish; undertail dusky; bill large, pale. Open southern oceans, mainly off sw Cape. Rare summer visitor.",1,N
42,Birds,Ocean Wade Birds,Cory's Shearwater,Calonectris borealis,034a.png,"  Medium; above medium to light brown; below white; underwing bordered and tipped brown; bill pale yellow. Atlantic Ocean, rarely to KwaZulu-Natal coast. Open sea. Fairly common in summer.",1,N
43,Birds,Ocean Wade Birds,Streaked Shearwater,Calonectris leucomelas,034a.png,"   Medium; crown streaked black and white; nape black; back scaled dark and light brown; narrow white V on rump; bill large, pale with dark tip; below white; underwing white with black edging; legs and feet pink. Open ocean. Very rare straggler to s African waters.",1,N
44,Birds,Ocean Wade Birds,Great Shearwater,Puffinus gravis,035a.png,"  Medium; above dark brown with white band at base of tail; head capped brown; below white, mottled darker on belly; underwing edged dark with dark broken band; bill dark, long. Atlantic Ocean, rarely to KwaZulu-Natal. Open ocean. Common, mainly in summer.",1,N
45,Birds,Ocean Wade Birds,Flesh-footed Shearwater,Puffinus carneipes,036a.png,"  Medium; all dark brown; bill and feet pale pink; tail short, rounded. Southern Indian Ocean. Offshore waters in Agulhas current. Rare summer visitor.",1,N
46,Birds,Ocean Wade Birds,Sooty Shearwater,Puffinus griseus,037a.png,"  Medium; all dark brown; underwing silvery greyish white; bill black, slender. Widespread at sea. Common, mainly in winter.",1,N
47,Birds,Ocean Wade Birds,Manx Shearwater,Puffinus puffinus,038a.png,"  Small to medium; above very dark brown; dark crown extends to below eye; below white; wings long, narrow, tipped darker; bill dark slender; feet pale. Mainly s and w coasts. Open ocean and inshore. Uncommon summer visitor.",1,N
48,Birds,Ocean Wade Birds,Little Shearwater,Puffinus assimilis,039a.png,"  Small; above black; below white; bill short, dark; legs dark against white undertail; flutter-and-glide flight pattern. Open southern oceans. Rare.",1,N
49,Birds,Ocean Wade Birds,Wedge-tailed Shearwater,Puffinus pacificus,041a.png,"  Medium; dark form all dark brown; wings and tail darker; tail long, wedge-shaped in both forms; legs pale; light form paler brown above; below white; undertail dark. Mainly E coast. Open ocean and offshore. Rare.",1,N
50,Birds,Terns Petrels and Frigates,European Storm Petrel,Hydrobates pelagicus,042a.png,  Small; blackish brown with pale line on upperwing; rump and underwing patch white; tail square. Southern oceans. Common Nonbr summer visitor.,1,N
51,Birds,Terns Petrels and Frigates,Leach’s Storm Petrel,Oceanodroma leucorhoa,043a.png,  Small; blackish brown; rump white with dark centre; tail forked with broad tips. Continental seas. Rare vagrant.,1,N
52,Birds,Terns Petrels and Frigates,Matsudaira’s Storm Petrel,Oceanodroma matsudairae,043a.png,  Small; tail forked; dark brown with paler stripe on upperwing; bases of primaries show white shafts. Open ocean. Very rare vagrant.,1,N
53,Birds,Terns Petrels and Frigates,White-faced Storm Petrel,Pelagodroma marina,043a.png,"  Small; brownish grey above; white below with greyish flanks; diagnostic face pattern with distinct white supercillium and forehead; square, black tail; pale (not white) rump; underwing white with dark trailing edge. Open ocean. Very rare vagrant to sw Cape.",1,N
54,Birds,Terns Petrels and Frigates,Wilson’s Storm Petrel,Oceanites oceanicus,044a.png,"  Small; sooty black with slightly paler band on upperwing; rump white; tail square; webs between toes yellow; legs long, sometimes extend beyond tail in flight. Open ocean. Common Nonbr migrant.",1,N
55,Birds,Terns Petrels and Frigates,White-bellied Storm Petrel,Fregetta grallaria,045a.png,"  Small; black with white rump, belly and underwing; tail square. Open ocean. Rare vagrant, mainly to E coast.",1,N
56,Birds,Terns Petrels and Frigates,Black-bellied Storm Petrel,Fregetta tropica,046a.png,"  Small; very similar to Whitebellied Stormpetrel, but has black centre line on white belly. Open ocean. Very rare vagrant, mainly to S and W coasts.",1,N
57,Birds,Terns Petrels and Frigates,Red-tailed Tropicbird,Phaethon rubricauda,047a.png,  Medium to large; white; crescent through eye and streaks on primaries black; bill and long tail streamers red. Indian Ocean. Very rare vagrant.,1,N
58,Birds,Terns Petrels and Frigates,White-tailed Tropicbird,Phaethon lepturus,048a.png,"  Medium; white; crescent through eye, patch on primaries and stripe on upperwing black; bill yellow; long tail streamers white. Indian Ocean. Very rare vagrant.",1,N
59,Birds,Terns Petrels and Frigates,Red-billed Tropicbird,Phaethon aethereus,048a.png,"  Large; white with black eyestripe, wingtips and heavy barring on back; bill red; long tail streamers white. Open ocean. Very rare vagrant.",1,N
60,Birds,Medium Water Birds,Great White Pelican,Pelecanus onocrotalus,049a.png,"  Very large; mostly white; remiges black; underwing sharply white in front, black behind. Coastal and larger inland waters. Common resident or nomad.",1,N
61,Birds,Medium Water Birds,Pink-backed Pelican,Pelecanus rufescens,050a.png,"  Very large; greyish, tinged pink on back and belly; underwing dull grey, remiges dusky. Coastal and larger inland waters. Uncommon resident or vagrant.",1,N
62,Birds,Terns Petrels and Frigates,Brown Booby,Sula leucogaster,052a.png,  Large; mostly sooty brown; belly and centre of underwing white; bill yellow. Tropical oceans. Very rare vagrant on E coast.,1,N
63,Birds,Terns Petrels and Frigates,Red-footed Booby,Sula sula,052a.png,,1,N
64,Birds,Terns Petrels and Frigates,Cape Gannet,Morus capensis,053a.png,"  Large; mostly white; tail, tips and trailing edge of wing, and long gular stripe black; head light ochre yellow; bill pale bluegrey. Coastal waters. Very common resident or seasonal visitor.",1,N
65,Birds,Terns Petrels and Frigates,Australasian Gannet,Morus serrator,054a.png,"  Similar to Cape Gannet, but outer rectrices white, gular stripe short. Coastal waters. Very rare vagrant.",1,N
66,Birds,Medium Water Birds,White-breasted Cormorant,Phalacrocorax lucidus,055a.png,"  Large to very large; black, except for variable amount of white foreneck and upper belly; tail relatively short. Inland and coastal waters. Common resident.",1,N
67,Birds,Medium Water Birds,Cape Cormorant,Phalacrocorax capensis,056a.png,"  Medium to large; black; tail relatively short; face and throat bright yellow; bill relatively long; highly gregarious. Coastal waters, mainly in W. Abundant resident and nomad.",1,N
68,Birds,Medium Water Birds,Bank Cormorant,Phalacrocorax neglectus,057a.png,  Large; black; white rump patches when Br; bill relatively short. West coast. Common resident.,1,N
69,Birds,Medium Water Birds,Reed Cormorant,Phalacrocorax africanus,058a.png,  Medium; mostly blackish; tail relatively long; eye red. Inland waters; solitary. Common resident.,1,N
70,Birds,Medium Water Birds,Crowned Cormorant,Phalacrocorax coronatus,059a.png,"  Medium; similar to Reed Cormorant, but inhabits coastal waters (only marine cormorant with red eyes). West coast. Uncommon resident.",1,N
71,Birds,Medium Water Birds,African Darter,Anhinga rufa,060a.png,"  Large, slender; mostly blackish; neck and tail long; bill slim, pointed; mostly dark with white streak on neck and streaks on back; foreneck chestnut. Inland waters. Widespread Common resident.",1,N
72,Birds,Terns Petrels and Frigates,Greater frigatebird,Fregata minor,061a.png,"  Large to very large; black; breast white in &amp;; wings very long, tail deeply forked; bill long, hooked at tip. Tropical oceans. Very rare vagrant.",1,N
73,Birds,Terns Petrels and Frigates,Lesser frigatebird,Fregata ariel,061a.png,"  Large; smaller than other frigatebirds; male all black with short white streak under each wing near body; female similar to Great Frigatebird, but smaller. Open ocean, mainly tropical. Rare straggler to s Africa.",1,N
74,Birds,Large Water Birds,Grey Heron,Ardea cinerea,062a.png,"  Very large; neck white, streaked black in front; bill yellow; black stripe behind eye; back grey; belly white; underwing plain grey. Mostly inland waters. Widespread. Common resident.",1,N
75,Birds,Large Water Birds,Black-headed Heron,Ardea melanocephala,063a.png,"  Very large; head and neck black above, white below; rest of body grey; bill black above; underwing sharply white in front, black behind. Open grassland, fields, shallow waters. Widespread. Common resident.",1,N
76,Birds,Large Water Birds,Goliath Heron,Ardea goliath,064a.png,"  Very large; slate grey with chestnut neck, belly and wrist patch; bill dark, heavy. Larger inland waters, usually subtropical. Uncommon resident.",1,N
77,Birds,Large Water Birds,Purple Heron,Ardea purpurea,065a.png,"  Large; build slender; mostly rufous, brown and blackish; bill and legs slender, yellowish. Reedbeds and grassy inland waters. Mostly in E. Rather uncommon resident.",1,N
78,Birds,Large Water Birds,Great Egret,Egretta alba,066a.png,  Very large; white; neck long with kink in middle; bill yellow (Nonbr) or black (Br); legs and feet all black. Inland waters. Mostly uncommon resident.,1,N
79,Birds,Large Water Birds,Little Egret,Egretta garzetta,067a.png,"  Medium; white; build slender; bill slender, black; legs black, toes yellow. Shores of inland and marine waters. Fairly common resident.",1,N
80,Birds,Large Water Birds,Yellow-billed Egret,Egretta intermedia,068a.png,"  Large; white; bill yellow; neck and bill relatively short and robust; legs and feet blackish, shading to yellow on upper leg. Inland waters. Mostly uncommon.",1,N
81,Birds,Large Water Birds,Black Heron,Egretta ardesiaca,069a.png,"  Large; all black or slaty black; feet yellow, legs black. Inland water in wetter regions. Common, especially in tropics.",1,N
82,Birds,Large Water Birds,Little Blue Heron,Egretta caerulea,069a.png,"  Medium to large; blackish or dark bluish slate all over with deep maroon head and neck; build slender. Coastal and inland waters, mainly tropical. Very rare straggler to sw Cape.",1,N
83,Birds,Large Water Birds,Slaty Egret,Egretta vinaceigula,070a.png,  Medium to large; all slaty black; throat rufous; build slender; legs and feet all yellow. Shallow water in Okavango Delta and adjacent Namibia. Uncommon resident and nomad.,1,N
84,Birds,Large Water Birds,Western Cattle Egret,Bubulcus ibis,071a.png,"  Medium; build stocky; mostly white with pinkish buff plumes on head, back and breast when Br; bill yellow or orange; legs dull yellowish. Usually gregarious around large ungulates. Grasslands, pastures, lawns, playing fields. Widespread except in very arid regions. Very common.",1,N
85,Birds,Large Water Birds,Squacco Heron,Ardeola ralloides,072a.png,  Medium; above buffy brown; wings and underparts white. Well vegetated inland waters. Uncommon to locally common resident and Nonbr Palaearctic migrant.,1,N
86,Birds,Large Water Birds,Green-backed Heron,Butorides striata,074a.png,"  Medium; build stocky; above blackish green; below grey, throat white; buff line down foreneck; bill black above, yellow below; legs yellow. Inland waters in wetter parts. Uncommon, but common in tropics.",1,N
87,Birds,Large Water Birds,Rufous-bellied Heron,Ardeola rufiventris,075a.png,"  Medium; build chunky; very dark; mostly black (%) or sooty brown (&amp;); wings, belly, rump and tail dark maroon; bill and legs yellow. Inland waters with dense vegetation, mainly subtropical. Uncommon to rare resident.",1,N
88,Birds,Large Water Birds,Black-crowned Night Heron,Nycticorax nycticorax,076a.png,"  Medium; build stocky, neck short; crown and back black; wings grey; below white; eye red, large. Quiet inland waters. Widespread. Fairly common.",1,N
89,Birds,Large Water Birds,White-backed Night Heron,Gorsachius leuconotus,077a.png,"  Medium; build stocky; head black with conspicuous pale eyepatch; back blackish brown with white patch in centre; rest of body rufous, fading to white on belly. Tropical waters. Uncommon to rare.",1,N
90,Birds,Medium Water Birds,Little Bittern,Ixobrychus minutus,078a.png,"  Small to medium; crown and back blackish green; wings and neck buff, neck streaked rufous. Reedfringed inland waters, or streams with rank marginal vegetation. Widespread. Mostly uncommon resident or Nonbr Palaearctic migrant.",1,N
91,Birds,Medium Water Birds,Dwarf Bittern,Ixobrychus sturmii,079a.png,"  Small; above black; below buffy white, heavily streaked black; legs bright yellow. Inland, mostly tropical waters with dense vegetation. Uncommon to rare Br migrant.",1,N
92,Birds,Medium Water Birds,Eurasian Bittern,Botaurus stellaris,080a.png,"  Large; build stocky; mottled golden brown and black; crown black; bill yellow. Reedbeds, marshes in S, E and N. Rare resident.",1,N
93,Birds,Large Water Birds,Hamerkop,Scopus umbretta,081a.png,"  Medium; all dark brown; head crested behind, making hammerhead shape with dark, heavy bill. Inland waters. Widespread. Common resident.",1,N
94,Birds,Large Water Birds,White Stork,Ciconia ciconia,083a.png,"  Very large; white with black wings; bill and legs red. Open country, savanna; usually gregarious. Widespread. Common Nonbr Palaearctic migrant.",1,N
95,Birds,Large Water Birds,Black Stork,Ciconia nigra,084a.png,  Very large; glossy black with white belly; bill and legs red. Inland waters when feeding; cliffs when Br. Widespread. Uncommon to rare resident.,1,N
96,Birds,Large Water Birds,Abdim’s Stork,Ciconia abdimii,085a.png,"  Large;  glossy black with white belly;  bill and legs grey;  ankle joint and toes red.  Open country, savanna; mainly highveld, savanna and semidesert usually gregarious.  Common Nonbr migrant from E and W Africa.",1,N
97,Birds,Large Water Birds,Woolly-necked Stork,Ciconia episcopus,086a.png,  Large; glossy black with white neck and white belly; bill and legs reddish black. Inland waters in wooded country; sometimes tidal mudflats; mostly subtropical. Uncommon to locally common resident.,1,N
98,Birds,Large Water Birds,African Openbill,Anastomus lamelligerus,087a.png,"  Large to very large; plain brownish black; bill large, pale with gap between jaws. Tropical inland waters; usually gregarious. Common to abundant resident.",1,N
99,Birds,Large Water Birds,Saddle-billed Stork,Ephippiorhynchus senegalensis,088a.png,"  Very large; head, neck and wings black; rest of body white; bill huge, red and black with yellow saddle on top of base; naked red patch on breast; legs very long. Tropical inland waters. Locally fairly common.",1,N
100,Birds,Large Water Birds,Marabou Stork,Leptoptilos crumeniferus,089a.png,"  Very large; above black; below white; head and neck naked, pinkish with inflatable throat pouch and red neck balloon; bill huge, pale grey; legs very long, whitish. Tropical woodland; often gregarious. Locally common; rare in S of range.",1,N
101,Birds,Large Water Birds,Yellow-billed Stork,Mycteria ibis,090a.png,"  Large to very large; mostly white, sometimes tinged pink; wings and tail black; bill large, yellow with drooping tip; legs long, pink to red. Inland waters; often gregarious. Fairly common, except in arid regions; resident or Nonbr migrant from tropics.",1,N
102,Birds,Ibis,African Sacred Ibis,Threskiornis aethiopicus,091a.png,"  Large; mostly white; plumes on back, naked neck and long curved bill black. Inland waters, flooded fields, farmyards; often gregarious. Common resident.",1,N
103,Birds,Ibis,Southern Bald Ibis,Geronticus calvus,092a.png,"  Large; mostly glossy blackish green; naked head, curved bill and legs red; naked neck white. High grasslands, mountains; usually gregarious. Uncommon.",1,N
104,Birds,Ibis,Glossy Ibis,Plegadis falcinellus,093a.png,"  Large; build slender; uniform dark glossy greenish brown; bill and legs slender, dark. Inland waters of S, E and N; often gregarious. Locally common.",1,N
105,Birds,Ibis,Hadeda Ibis,Bostrychia hagedash,094a.png,"  Large; build stocky; mostly plain dark grey; wings iridescent green or mauve in bright sunlight; bill fairly stout, decurved, dark with red stripe along top; legs short; voice very loud ha-ha-hadeda. Lawns, fields, forests, watersides; mainly in moister parts; sometimes gregarious. Very common resident.",1,N
106,Birds,Medium Water Birds,African Spoonbill,Platalea alba,095a.png,  Large to very large; plain white with reddish spoonshaped bill; legs reddish pink. Inland waters. Widespread. Fairly common resident and nomad.,1,N
107,Birds,Large Water Birds,Greater Flamingo,Phoenicopterus roseus,096a.png,  Very large; neck and legs very long and slender; mostly white with scarlet upperwing and black wingtips; bill pale pink with black tip. Shallow inland waters; highly gregarious. Widespread. Locally common nomad.,1,N
108,Birds,Large Water Birds,Lesser Flamingo,Phoeniconaias minor,097a.png,"  Very large; neck and legs very long and slender; mostly white, washed with pink; upperwing scarlet; wingtips black; bill all dark. Inland waters; highly gregarious. Widespread. Locally common nomad.",1,N
109,Birds,Large Water Birds,Mute Swan,Cygnus olor,98a.png,,1,N
110,Birds,Ducks and Geese,White-faced Whistling Duck,Dendrocygna viduata,099a.png,"  Medium; above brown; neck black contrasting with white face; flanks barred black-and-white; belly dark; wings all dark. Voice 3-syllabled whistle swee-swee-sweeu. Inland waters, mainly in E, S and tropics. Common to abundant resident.",1,N
111,Birds,Ducks and Geese,Fulvous Whistling Duck,Dendrocygna bicolor,100a.png,  Medium; rich golden buff with brown back and whitish flank plumes; wings all dark; white V at base of tail in flight. Inland waters. Widespread except in arid regions. Uncommon to common resident.,1,N
112,Birds,Ducks and Geese,White-backed Duck,Thalassornis leuconotus,101a.png,  Medium; mottled blackish and yellowish brown; white patch at base of bill; white back visible in flight; wings all dark; sits very low in water. Widespread except in arid regions. Uncommon resident or nomad.,1,N
113,Birds,Ducks and Geese,Egyptian Goose,Alopochen aegyptiaca,102a.png,"  Large; above rufous; below greyish; patch around eye, ring at base of neck and patch on breast brown; wingtips black, inner wing white in front, iridescent green behind; bill and legs pink. Inland waters. Widespread. Abundant resident.",1,N
114,Birds,Ducks and Geese,South African Shelduck,Tadorna cana,103a.png,"  Large; body bright rufous brown; head and neck grey, face white in female; wingtips black, inner wing white behind, iridescent green in front. Voice resonant honk. Inland waters; mostly shallow brackish pans and dams. Southwestern regions and highveld. Common resident and nomad.",1,N
115,Birds,Ducks and Geese,Yellow-billed Duck,Anas undulata,104a.png,"  Medium; all dark  grey with white scaly markings; bill bright yellow with black saddle; speculum metallic green, narrowly bordered white; legs and feet black. Inland waters. Widespread except in arid and wooded regions. Very common resident.",1,N
116,Birds,Ducks and Geese,African Black Duck,Anas sparsa,105a.png,"  Medium; body black with bold white patches on back; bill black; legs and feet yellow-orange; speculum metallic blue-green, narrowly edged white. Rivers. Widespread except in NW. Uncommon localized resident.",1,N
117,Birds,Small Water Birds,Cape Teal,Anas capensis,106a.png,  Medium; very pale whitish grey; bill rose pink; speculum metallic green broadly bordered white. Shallow brackish inland waters. Widespread except in NW. Common in dry regions; uncommon elsewhere.,1,N
118,Birds,Small Water Birds,Hottentot Teal,Anas hottentota,107a.png,"  Medium; yellowish buff, mottled and spotted blackish; head dark above, pale below; bill blue; speculum metallic green with white trailing edge. Vegetated inland waters, mainly tropical. Uncommon to common resident.",1,N
119,Birds,Small Water Birds,Red-billed Teal,Anas erythrorhyncha,108a.png,"  Medium; above brown, streaked buff; below buff, mottled darker; head dark above, pale below; bill bright pink; speculum plain light beige. Inland waters. Widespread. Common to very common resident.",1,N
120,Birds,Ducks and Geese,Northern Pintail,Anas acuta,109a.png,"  Medium. Male: head dark brown with white neck streak; back black, streaked white; breast white; belly grey; tail long, pointed; speculum bronze with white trailing edge. Female: mottled brown; speculum as in male. Inland waters. Very rare Nonbr Palaearctic straggler to Transvaal.",1,N
121,Birds,Ducks and Geese,Garganey,Anas querquedula,110a.png,  Medium. Male: above dark brown; sides of head and neck reddish brown with white eyebrow curving to nape; breast mottled brown; belly white; wing bluegrey above; speculum green with white trailing edge. Female: mottled brown; eyebrow pale; upperwing as in %. Inland waters. Rare Nonbr Palaearctic migrant.,1,N
122,Birds,Ducks and Geese,Cape Shoveler,Anas smithii,112a.png,"  Medium; mottled dark brown; head paler; upperwing light blue with metallic green speculum; bill broad, black; legs and feet orange-yellow. Shallow inland waters. Widespread except in wooded regions. Common to uncommon resident.",1,N
123,Birds,Ducks and Geese,Southern Pochard,Netta erythrophthalma,113a.png,"  Medium. Male: dark brown, paler below; bill blue; eye bright red; white wingbar in flight. Female: medium brown; patch around base of bill and crescent behind ear white; wing as in %. Deeper inland waters. Widespread. Common resident and local migrant.",1,N
124,Birds,Ducks and Geese,African Pygmy Goose,Nettapus auritus,114a.png,  Medium; above dark green; below rusty orange; wings dark with large white patch; bill orange-yellow. Lily-covered inland waters. Mainly tropical. Uncommon resident.,1,N
125,Birds,Ducks and Geese,Mallard,Anas platyrhynchos,114a.png,"  Medium. MALE: distinctive, bright green head and neck, yellow bill (with no ‘saddle’), brownish breast band and white collar at the base of neck diagnostic; eclipse male resembles female. FEMALE: drab; similar to Yellowbilled Duck but bill greyish (not yellow); speculum also purplish rather than glossy green. Inland waterbodies. Feral populations on highveld and in sw Cape; domesticated birds widespread on small-holdings and farms. Locally common.",1,N
